,순위,종목코드,종목명,시장구분,시작일기준가,종료일종가,대비,등락률,거래량_합계,거래량_일평균,거래대금_합계,거래대금_일평균
18,19,19170,신풍제약,KOSPI,6990,98000,91010,1302.0,2059425157,8270784,87475160616580,351305865930
20,21,11000,진원생명과학,KOSPI,2221,19000,16779,755.47,2009191008,8069040,31874270099110,128009116864
47,48,1470,삼부토건,KOSPI,711,3705,2994,421.1,1099220740,4414541,3294597207484,13231314086
38,39,11200,HMM,KOSPI,3745,14700,10955,292.52,1286251297,5165668,11941159332610,47956463183
5,6,11930,신성이엔지,KOSPI,996,3520,2524,253.41,4327557120,17379747,11382482142980,45712779691
30,31,4140,동방,KOSPI,1525,4835,3310,217.05,1406589791,5648955,3753577559065,15074608671
7,8,92220,KEC,KOSPI,1070,3010,1940,181.31,3308255979,13286169,7494661378960,30099041683
23,24,2630,오리엔트바이오,KOSPI,743,2005,1262,169.85,1750909781,7031766,2008657707831,8066898425
26,27,34020,두산중공업,KOSPI,5199,13250,8051,154.86,1541754921,6191787,16766725076100,67336245286
10,11,1440,대한전선,KOSPI,625,1400,775,124.0,2588118126,10394049,2805686616733,11267817738
